[debug] PhaseRunner.scala:82 Success [id => dc, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc),TsIdentLibrarySimple(dc)),TsIdentModule(None,List(dc))) [id => dc, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(dc)) [id => dc, phase => typescript] 
[info ] ExpandCallables.scala:51 Expanded y into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded yAxis into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded elasticY into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded renderHorizontalGridLines into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded renderVerticalGridLines into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded yAxisPadding into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded round into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded clipPadding into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded brushOn into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded hidableStacks into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(StackMixin))] 
