[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NameContent) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addFile) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ObjectHashes) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addObjectHashes) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NameMetadataHash) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addMetadataHashes) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NameMetadataHashCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addObjectHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NameMetadataHashSize) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addMetadataHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NameContent) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addFileAsSoftLink) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_FilesName) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addFiles) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CallbackMessage) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(save) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CommitA) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(getClassAncestorCommit) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CallbackCommitHashCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(getTags) / TsTypeObject())] 
