[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(react)) for TsIdentLibrarySimple(expo) [id => expo, phase => typescript, file => ../types/expo/index.d.ts] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_TypeSuccess) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(AuthSession) / TsDeclTypeAlias(StartAsyncResponse) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ErrorCode) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(AuthSession) / TsDeclTypeAlias(StartAsyncResponse) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ReturnUrl) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(AuthSession) / TsDeclFunction(startAsync) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Platform) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Platform) / TsMemberProperty(ios) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_VersionCode) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Platform) / TsMemberProperty(android) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ReservedClientId) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(ios) / TsTypeObject() / TsMemberProperty(config) / TsTypeObject() / TsMemberProperty(googleSignIn) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_UsesNonExemptEncryption) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(ios) / TsTypeObject() / TsMemberProperty(config) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_SupportsTablet) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(ios) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_PropName) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(packagerOpts) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_AndroidCollapsedTitle) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(notification) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_BarStyle) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(androidStatusBar) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ExponentIconGrayscale) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(loading) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ResizeMode) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(splash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ApiKey) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclNamespace(Constants) / TsDeclInterface(Manifest) / TsMemberProperty(android) / TsTypeObject() / TsMemberProperty(config) / TsTypeObject() / TsMemberProperty(fabric) / TsTypeObject())] 
