[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_InputOutputAnonCheck) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(pubKeyHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(pubKey) / TsTypeObject() / TsMemberProperty(input) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(pubKey) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_InputOutputAnonCheck) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(pubKey) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Encode) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessCommitment) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_OutputAnonEncode) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessCommitment) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CheckScript) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessScriptHash) / TsTypeObject() / TsMemberProperty(input) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessScriptHash) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_InputOutput) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessScriptHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_GetHash) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclClass(Block) / TsMemberFunction(calculateMerkleRoot) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[debug] PhaseRunner.scala:78 Success [id => bitcoinjs-lib, phase => typescript] 
[warn ] Phase2ToScalaJs.scala:34 Processing TsIdentLibrarySimple(bitcoinjs-lib) [id => bitcoinjs-lib, phase => scala.js] 
[debug] PhaseRunner.scala:78 Success [id => bitcoinjs-lib, phase => scala.js] 
[warn ] PhaseRunner.scala:64 Failed because of, [node => Compilation failed] [id => bitcoinjs-lib, phase => build] 
[debug] PhaseRunner.scala:82 Failure, [node => Compilation failed] [id => bitcoinjs-lib, phase => build] 
