[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(angle) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(bbox) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(bearing) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(clone) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPoint) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointNormalizedLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointTangent) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(containsPoint) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(equals) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersect) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersect) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersect) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersect) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersect) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersectionWithLine) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isDifferentiable) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(length) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
