[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeUnion() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclTypeAlias(Query) / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclTypeAlias(Query) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(find) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(find) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(find) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(find) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOne) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOne) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOne) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOne) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndRemove) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndRemove) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndRemove) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndRemove) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndRemove) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndRemove) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
