[debug] PhaseRunner.scala:82 Success [id => c3, phase => typescript] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Add) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(regions) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_AxesColors) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(data) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Key) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(axis) / TsTypeObject() / TsMemberFunction(range) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_KeyMax) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(axis) / TsTypeObject() / TsMemberFunction(range) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Key) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(axis) / TsTypeObject() / TsMemberFunction(range) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_KeyLabels) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(axis) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Hide) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(legend) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Domain) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(zoom) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Height) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(resize) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_ClassValue) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(GridOperations) / TsMemberFunction(remove) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[debug] PhaseRunner.scala:82 Success [id => c3, phase => typescript] 
[warn ] Phase2ToScalaJs.scala:40 Processing c3 [id => c3, phase => scala.js] 
[debug] PhaseRunner.scala:82 Success [id => c3, phase => scala.js] 
[warn ] PhaseRunner.scala:68 Failed because of, [geojson => Compilation failed] [id => c3, phase => build] 
[error] PhaseRunner.scala:86 Failure, [geojson => Compilation failed] [id => c3, phase => build] 
[error] PhaseRunner.scala:86 Failure, [geojson => Compilation failed] [id => c3, phase => publish] 
