[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Status) / TsDeclInterface(LeaderOptions))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Status) / TsDeclInterface(PeersOptions))] 
[info ] ExpandCallables.scala:57 Expanded leader into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Status))] 
[info ] ExpandCallables.scala:57 Expanded peers into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Status))] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Name) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Event) / TsMemberProperty(fire) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NameCallback) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Event) / TsMemberProperty(list) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_State) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health) / TsMemberProperty(state) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Service) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health) / TsMemberProperty(service) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ServiceCallback) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health) / TsMemberProperty(checks) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Node) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health) / TsMemberProperty(node) / TsTypeObject())] 
