[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(addModule) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(addEntry) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getPath) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(applyPlugins) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(compare) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation) / TsMemberProperty(dependencyFactories) / TsTypeRef() / TsTypeObject())] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(compare) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation) / TsMemberProperty(dependencyTemplates) / TsTypeRef() / TsTypeObject())] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(run) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(ICompiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(watch) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(ICompiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(Watching))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(invalidate) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(Watching))] 
