[debug] PhaseRunner.scala:78 Success [id => office-js, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js),TsIdentLibrarySimple(office-js)),TsIdentModule(None,List(office-js))) [id => office-js, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(office-js) [id => office-js, phase => typescript] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(FormatProtection) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartFont) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(DataValidation) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(WorkbookCreated) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartTrendlineLabelFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ConditionalFormatRule) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ConditionalRangeFill) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartLegendFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ColorScaleConditionalFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(RangeView) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
