[debug] PhaseRunner.scala:84 Success [id => typescript-stl, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl/lib/typescript-stl.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl),TsIdentLibrarySimple(typescript-stl)),TsIdentModule(None,List(typescript-stl))) [id => typescript-stl, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:184 Processing TsIdentLibrarySimple(typescript-stl) [id => typescript-stl, phase => typescript] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(equal_range) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(equal_range) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(binary_search) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(binary_search) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(is_partitioned) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(partition) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(stable_partition) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(partition_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(partition_point) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(merge) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(merge) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(inplace_merge) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(inplace_merge) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(includes) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(includes) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_union) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_union) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_intersection) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_intersection) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_difference) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_difference) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_symmetric_difference) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(set_symmetric_difference) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(min) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(max) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(minmax) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(min_element) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(min_element) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(max_element) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(max_element) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(minmax_element) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(minmax_element) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(equal_to) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(not_equal_to) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(less) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(less_equal) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(greater) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(greater_equal) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(logical_and) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(logical_or) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(logical_not) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
